datetime,timestamp_ms,value,sensor
2025-12-24 21:26:59,1766611619000,23.82,sensor:temperature
2025-12-24 21:27:06,1766611626000,23.82,sensor:temperature
2025-12-24 21:27:13,1766611633000,23.82,sensor:temperature
2025-12-24 21:27:20,1766611640000,23.83,sensor:temperature
2025-12-24 21:27:27,1766611647000,23.86,sensor:temperature
2025-12-24 21:27:33,1766611653000,23.87,sensor:temperature
2025-12-24 21:27:40,1766611660000,23.9,sensor:temperature
2025-12-24 21:27:46,1766611666000,23.9,sensor:temperature
2025-12-24 21:27:52,1766611672000,23.9,sensor:temperature
2025-12-24 21:27:59,1766611679000,23.9,sensor:temperature
2025-12-24 21:28:06,1766611686000,23.92,sensor:temperature
2025-12-24 21:28:12,1766611692000,23.91,sensor:temperature
2025-12-24 21:28:19,1766611699000,23.89,sensor:temperature
2025-12-24 21:28:25,1766611705000,23.92,sensor:temperature
2025-12-24 21:28:32,1766611712000,23.95,sensor:temperature
2025-12-24 21:28:39,1766611719000,23.96,sensor:temperature
2025-12-24 21:28:45,1766611725000,23.99,sensor:temperature
2025-12-24 21:28:52,1766611732000,24.02,sensor:temperature
2025-12-24 21:28:58,1766611738000,24.04,sensor:temperature
2025-12-24 21:46:54,1766612814000,24.17,sensor:temperature
2025-12-24 21:47:00,1766612820000,24.13,sensor:temperature
2025-12-24 21:47:06,1766612826000,24.14,sensor:temperature
2025-12-24 21:47:12,1766612832000,24.14,sensor:temperature
2025-12-24 21:47:19,1766612839000,24.12,sensor:temperature
2025-12-24 21:47:25,1766612845000,24.12,sensor:temperature
2025-12-24 21:47:31,1766612851000,24.1,sensor:temperature
2025-12-24 21:47:37,1766612857000,24.09,sensor:temperature
2025-12-24 21:47:44,1766612864000,24.08,sensor:temperature
2025-12-24 21:47:50,1766612870000,24.11,sensor:temperature
2025-12-24 21:47:56,1766612876000,24.1,sensor:temperature
2025-12-24 21:48:02,1766612882000,24.1,sensor:temperature
2025-12-24 21:48:08,1766612888000,24.08,sensor:temperature
2025-12-24 21:48:14,1766612894000,24.04,sensor:temperature
2025-12-24 21:48:20,1766612900000,24.02,sensor:temperature
2025-12-24 21:48:26,1766612906000,23.99,sensor:temperature
2025-12-24 21:48:33,1766612913000,23.99,sensor:temperature
2025-12-24 21:48:39,1766612919000,24.0,sensor:temperature
2025-12-24 21:48:48,1766612928000,23.99,sensor:temperature
2025-12-24 21:49:00,1766612940000,24.02,sensor:temperature
2025-12-24 21:49:36,1766612976000,24.02,sensor:temperature
2025-12-24 21:49:43,1766612983000,24.01,sensor:temperature
2025-12-24 21:49:54,1766612994000,24.01,sensor:temperature
2025-12-24 21:50:01,1766613001000,24.02,sensor:temperature
2025-12-24 21:50:08,1766613008000,24.02,sensor:temperature
2025-12-24 21:50:19,1766613019000,24.01,sensor:temperature
2025-12-24 21:50:28,1766613028000,24.01,sensor:temperature
2025-12-24 21:50:34,1766613034000,23.99,sensor:temperature
2025-12-24 21:50:42,1766613042000,23.99,sensor:temperature
2025-12-24 21:50:48,1766613048000,23.96,sensor:temperature
2025-12-24 21:51:00,1766613060000,23.99,sensor:temperature
2025-12-24 21:51:07,1766613067000,23.99,sensor:temperature
2025-12-24 21:51:13,1766613073000,23.99,sensor:temperature
2025-12-24 21:56:59,1766613419000,24.1,sensor:temperature
2025-12-24 21:57:05,1766613425000,24.11,sensor:temperature
2025-12-24 21:57:11,1766613431000,24.1,sensor:temperature
2025-12-24 21:57:17,1766613437000,24.11,sensor:temperature
2025-12-24 21:57:23,1766613443000,24.11,sensor:temperature
2025-12-24 21:57:30,1766613450000,24.11,sensor:temperature
2025-12-24 21:57:37,1766613457000,24.08,sensor:temperature
