timestamp_ms,datetime,value,sensor
1766611672000,2025-12-24 23:27:52.000000,23.9,sensor:temperature
1766611679000,2025-12-24 23:27:59.000000,23.9,sensor:temperature
1766611686000,2025-12-24 23:28:06.000000,23.92,sensor:temperature
1766611692000,2025-12-24 23:28:12.000000,23.91,sensor:temperature
1766611699000,2025-12-24 23:28:19.000000,23.89,sensor:temperature
1766611705000,2025-12-24 23:28:25.000000,23.92,sensor:temperature
1766611712000,2025-12-24 23:28:32.000000,23.95,sensor:temperature
1766611719000,2025-12-24 23:28:39.000000,23.96,sensor:temperature
1766611725000,2025-12-24 23:28:45.000000,23.99,sensor:temperature
1766611732000,2025-12-24 23:28:52.000000,24.02,sensor:temperature
1766611738000,2025-12-24 23:28:58.000000,24.04,sensor:temperature
